scenario,method,instance,rmse,topk_jaccard,rank_tau,stability,fidelity_r2,spurious_mass,causal_gap,counterfactual_validity,runtime_ms,ci_coverage
CorrBias,KernelSHAP,3,0.06012539255854516,1.0,0.7587869106393282,1.0,0.9931887542849105,0.00021620570696220047,0.6058941856252918,0.9999999835778915,0.10010006371885538,
CorrBias,KernelSHAP,4,0.06418438753722953,1.0,0.7587869106393282,1.0,0.9947011861013273,0.0148873511836106,1.1138765744755788,0.9999999979373903,0.132500019390136,
CorrBias,KernelSHAP,5,0.08672266377898036,1.0,0.7587869106393282,0.8000000000000002,0.9943569829183958,0.006818402151290279,1.0428435500173467,0.9999999961090749,0.0984750222414732,
CorrBias,KernelSHAP,6,0.028367389557505052,1.0,0.7587869106393282,1.0,0.9957422999678915,0.003560507213228277,0.45229555417726863,0.9999999360532587,0.14182488666847348,
CorrBias,KernelSHAP,7,0.03462469350143882,0.6,0.678914604256241,0.6666666666666666,0.993200299946621,0.015689106101042006,0.23943941432257834,1.0036892147435503,0.1084249815903604,
CorrBias,KernelSHAP,8,0.09605890279717466,1.0,0.7587869106393282,1.0,0.9949967751627318,0.011001476125232069,1.3523110150980264,0.9999999975853633,0.09834999218583107,
CorrBias,KernelSHAP,9,0.06290155653801416,1.0,0.7587869106393282,0.6666666666666666,0.9934274781524506,0.01275957163511713,0.7866226024032511,0.9999999955811668,0.10742509039118886,
CorrBias,KernelSHAP,10,0.07941351240945867,0.6,0.5591061446816102,0.6666666666666666,0.9956497057388953,0.01581287875643566,0.8618516148393351,1.0115831631668082,0.13949995627626777,
CorrBias,KernelSHAP,11,0.02895047931242303,1.0,0.7188507574477846,1.0,0.9935315897465434,0.0017051450325956336,0.25606684486512726,0.9999997193420527,0.10422500781714916,
CorrBias,PEXP-Sim,0,0.5797862412865528,1.0,0.9473684210526317,1.0,0.8770050457041993,0.0,0.7118687131754586,0.9999999965945233,26.352799963206053,
CorrBias,PEXP-Sim,1,1.1102907384124037,1.0,0.8947368421052632,1.0,0.9013453673529133,0.0,0.3831351376093983,0.9999999937121087,26.66922507341951,
CorrBias,PEXP-Sim,2,1.7933451417738067,1.0,0.8421052631578948,1.0,0.9078433399202648,0.0,0.9457837594007992,0.999999997436539,28.352799999993294,
CorrBias,PEXP-Sim,3,0.3651707338352237,1.0,0.9473684210526317,1.0,0.8794837133616418,0.0,0.146243055386558,0.9999999835778915,26.86365001136437,
CorrBias,PEXP-Sim,4,2.1368875085369092,1.0,0.8421052631578948,1.0,0.8704357079726232,0.0,1.173769669374004,0.9999999979373903,27.199875039514154,
CorrBias,PEXP-Sim,5,0.37011030669042594,1.0,1.0,1.0,0.8931186684247261,0.0,0.6141875091943247,0.9999999961090749,27.00670005287975,
CorrBias,PEXP-Sim,6,0.3356277984594472,1.0,0.8947368421052632,1.0,0.8854389525351198,0.0,0.03768348933650205,0.9999999360532587,26.646625017747283,
CorrBias,PEXP-Sim,7,0.2837081696426103,1.0,0.8421052631578948,1.0,0.8851076392047883,0.0,0.2559285934844861,0.9999999905246266,26.809449947904795,
CorrBias,PEXP-Sim,8,0.4037042792555872,1.0,0.9473684210526317,1.0,0.8918445502195839,0.0,1.0024193495591627,0.9999999975853633,27.271625061985105,
CorrBias,PEXP-Sim,9,1.3241417206964252,1.0,0.8947368421052632,1.0,0.8912654605498691,0.0,0.5511973380393834,0.9999999955811668,27.232699911110103,
CorrBias,PEXP-Sim,10,0.08756670876580798,1.0,0.9473684210526317,1.0,0.8941523871202598,0.0,0.9027130435517214,0.9999999973070005,26.881425001192838,
CorrBias,PEXP-Sim,11,0.18883283002437906,1.0,0.7368421052631581,1.0,0.8958274528448354,0.0,0.008667814335355836,0.9999997193420527,26.469075004570186,
CorrBias,RealExp-O,0,0.03949913482562208,1.0,0.7587869106393282,0.7999999999999999,0.9920612488946037,0.0048972719566511905,1.0324376067263894,0.9999999965945233,0.26227504713460803,
CorrBias,RealExp-O,1,0.025079637212909144,1.0,0.7587869106393282,1.0,0.9966787192299865,0.0031925496345810026,1.017875099231931,0.9999999937121087,0.21212507272139192,
CorrBias,RealExp-O,2,0.03667885165185287,1.0,0.7587869106393282,1.0,0.9937405666585342,0.006543180334632577,1.3186303032795468,0.999999997436539,0.20800007041543722,
CorrBias,RealExp-O,3,0.05521920109920592,1.0,0.7587869106393282,1.0,0.992045989463268,0.0015667808254352738,0.628137526250538,0.9999999835778915,0.20717497682198882,
CorrBias,RealExp-O,4,0.01925969650368848,1.0,0.7587869106393282,1.0,0.9966734021027417,0.000836666661903371,1.1916049111193787,0.9999999979373903,0.20640000002458692,
CorrBias,RealExp-O,5,0.06140928540041452,1.0,0.7587869106393282,0.8000000000000002,0.9936746855587448,0.004178155946163741,1.0771104753363723,0.9999999961090749,0.2062749699689448,
CorrBias,RealExp-O,6,0.05818747417231397,1.0,0.7188507574477846,1.0,0.986888252652815,0.00762370378508869,0.43621446210671866,0.9999999360532587,0.21267501870170236,
CorrBias,RealExp-O,7,0.05182868046209137,0.6,0.7188507574477846,0.6666666666666666,0.9905653209447318,0.0027667020560943594,0.2358303904401573,1.0036892147435503,0.2735750749707222,
CorrBias,RealExp-O,8,0.018543111585339403,1.0,0.7587869106393282,1.0,0.9965507377743474,0.0031563181593079435,1.4884975178578894,0.9999999975853633,0.27220003539696336,
CorrBias,RealExp-O,9,0.056302840580032446,1.0,0.7587869106393282,1.0,0.9949123722347213,0.009518331299416012,0.8287474663029497,0.9999999955811668,0.21487503545358777,
CorrBias,RealExp-O,10,0.06285250760557759,1.0,0.7587869106393282,0.8000000000000002,0.9940788475983297,0.0010748631558801466,0.9049361274541305,0.9999999973070005,0.20975008374080062,
CorrBias,RealExp-O,11,0.05470238298274344,1.0,0.7188507574477846,1.0,0.9858008249128518,0.002586589221124381,0.23989779422153054,0.9999997193420527,0.20527502056211233,
CorrBias,HBS-Shapley,0,0.21072531330530142,0.6,0.4392976851069795,0.6666666666666666,0.9341763413085162,0.045701997978316145,0.6969350733276033,1.0145460745787689,0.4305500187911093,0.4583333333333333
CorrBias,HBS-Shapley,1,0.20455012266324418,1.0,0.7587869106393282,1.0,0.9288080280222903,0.021146464711688188,0.7278110788305537,0.9999999937121087,0.44682499719783664,0.6875
CorrBias,HBS-Shapley,2,0.2023487597649913,1.0,0.7587869106393282,1.0,0.9443264568183494,0.042821255447384556,0.9165843331634104,0.999999997436539,0.4328000359237194,0.41666666666666663
CorrBias,HBS-Shapley,3,0.14542770951697778,1.0,0.7587869106393282,0.8000000000000002,0.9275272359403814,0.01055531806352428,0.46788509171786863,0.9999999835778915,0.4963999381288886,0.5416666666666666
CorrBias,HBS-Shapley,4,0.24667340604159552,1.0,0.7587869106393282,0.7999999999999999,0.9538128947610245,0.027613596665002314,0.9264850278263359,0.9999999979373903,0.7586000137962401,0.49999999999999994
CorrBias,HBS-Shapley,5,0.2271348063063238,1.0,0.7587869106393282,0.6666666666666666,0.9472555706626582,0.02240016978487016,0.8318558658182786,0.9999999961090749,0.7714750245213509,0.625
CorrBias,HBS-Shapley,6,0.08274670796869575,1.0,0.7587869106393282,1.0,0.9375887910888595,0.010467659403051312,0.34976277777832804,0.9999999360532587,0.7509500137530267,0.5833333333333334
CorrBias,HBS-Shapley,7,0.059719287072103215,0.6,0.5591061446816102,0.6666666666666666,0.9524095744158555,0.03596229379034566,0.19934079283334277,1.0036892147435503,0.7623499259352684,0.25
CorrBias,HBS-Shapley,8,0.31147576324455895,1.0,0.7188507574477846,1.0,0.935632099354162,0.03685129050767987,0.993448474593206,0.9999999975853633,0.6416000542230904,0.3541666666666667
CorrBias,HBS-Shapley,9,0.23379447491088445,0.6,0.5990422978731538,0.7333333333333334,0.9227687245992887,0.031171008832407178,0.5859378596698154,1.0239743987131549,0.5881250253878534,0.5
CorrBias,HBS-Shapley,10,0.21991932132147773,0.6,0.4392976851069795,0.6666666666666666,0.9495930889113657,0.03793509412488624,0.7062813129910482,1.0115831631668082,0.4493000451475382,0.5833333333333334
CorrBias,HBS-Shapley,11,0.059027417729331615,1.0,0.7188507574477846,1.0,0.9270456390561725,0.01807401541801907,0.1939068639269382,0.9999997193420527,0.4067000118084252,0.6666666666666666
CorrBias,TIDE,0,0.052754789584804083,1.0,0.7587869106393282,0.7333333333333334,0.9936892160343246,0.005669954562999004,0.9959040256406744,0.9999999965945233,14.511375047732145,
CorrBias,TIDE,1,0.01985446856189014,1.0,0.7587869106393282,0.7999999999999999,0.9910943298723877,0.01441173334065715,0.9788658026072223,0.9999999937121087,12.086999951861799,
CorrBias,TIDE,2,0.15839177791510406,1.0,0.678914604256241,1.0,0.9921023270483702,0.02363404929173485,1.130981363574273,0.999999997436539,12.403025000821799,
CorrBias,TIDE,3,0.06476381819566777,1.0,0.7587869106393282,1.0,0.9816778723308938,0.007957867967555224,0.6105831217778044,0.9999999835778915,12.561624986119568,
CorrBias,TIDE,4,0.023750044036679185,1.0,0.7587869106393282,1.0,0.9981086201875811,0.00025871854302462956,1.211567143746347,0.9999999979373903,12.478725053369999,
CorrBias,TIDE,5,0.09023672791179753,1.0,0.7587869106393282,0.6666666666666666,0.9941638133381024,0.015650092931731023,1.0400508777128836,0.9999999961090749,12.31830008327961,
CorrBias,TIDE,6,0.03791045893868031,1.0,0.7188507574477846,1.0,0.9963888659200979,0.004020459454308624,0.4639564900499637,0.9999999360532587,12.809825013391674,
CorrBias,TIDE,7,0.0359194858654643,0.6,0.678914604256241,0.6666666666666666,0.9959249044068361,0.013928190579753441,0.24881247331468004,1.0036892147435503,12.622825044672936,
CorrBias,TIDE,8,0.20120765355435669,1.0,0.678914604256241,1.0,0.9927591570466308,0.015091339551074912,1.2788239940837312,0.9999999975853633,12.232925044372678,
CorrBias,TIDE,9,0.04079581275963613,1.0,0.7587869106393282,1.0,0.996956331029778,0.0013387601882282685,0.8565584641752716,0.9999999955811668,12.865950004197657,
CorrBias,TIDE,10,0.05516767298384248,1.0,0.7587869106393282,0.8000000000000002,0.9933865993716349,0.005612576359735874,0.9076032501103093,0.9999999973070005,12.551925028674304,
CorrBias,TIDE,11,0.040823118218236,1.0,0.7188507574477846,0.8000000000000002,0.9909066574968195,0.0040262377744406655,0.2581953296877457,0.9999997193420527,12.30717496946454,
CorrBias,OTBE,0,0.09163735767098552,0.6,0.6389784510646974,0.6666666666666666,0.9816242833183697,0.020988971315823488,0.9113917231313399,1.0145460745787689,0.9672250016592443,0.47916666666666674
CorrBias,OTBE,1,0.10610841634429376,1.0,0.7587869106393282,1.0,0.9730202556509859,0.023361305691941753,0.8544560043711498,0.9999999937121087,1.2512000394053757,0.5625
CorrBias,OTBE,2,0.13610436825746386,1.0,0.7587869106393282,1.0,0.9621354469972547,0.04014842328390582,1.0149604016375695,0.999999997436539,0.930550042539835,0.3333333333333333
CorrBias,OTBE,3,0.07486382076886858,1.0,0.7587869106393282,1.0,0.9781295883169987,0.0029475514999605444,0.5807747344862652,0.9999999835778915,0.9828000329434872,0.5
CorrBias,OTBE,4,0.21782593200176875,0.6,0.7188507574477846,0.7999999999999999,0.9494231517960684,0.06567277568224607,0.8683373922206956,0.9730143098979948,1.2549999519251287,0.25
CorrBias,OTBE,5,0.14926689398195395,0.6,0.7188507574477846,0.7999999999999999,0.9731788022167329,0.027750872940827672,0.9275175205734948,0.9793310607469429,0.9871000074781477,0.4166666666666667
CorrBias,OTBE,6,0.03447992996551729,1.0,0.7587869106393282,1.0,0.9868956268376726,0.002305753552822232,0.43438713523748484,0.9999999360532587,1.0242499993182719,0.6458333333333334
CorrBias,OTBE,7,0.03649330653772757,0.6,0.4392976851069795,1.0,0.9915328285679348,0.021460813990294453,0.23141940165679187,1.0036892147435503,1.076799992006272,0.33333333333333337
CorrBias,OTBE,8,0.250892778307512,1.0,0.7587869106393282,1.0,0.9455509519171108,0.04964352558820553,1.073856971723272,0.9999999975853633,1.0289500351063907,0.3958333333333333
CorrBias,OTBE,9,0.1397028202025097,0.6,0.39936153191543583,1.0,0.9594548584761871,0.04347872572777764,0.6452237001174311,1.0239743987131549,0.9811999625526369,0.625
CorrBias,OTBE,10,0.17239349436158016,0.6,0.4392976851069795,0.6,0.9676433642477718,0.024914104798303794,0.7598069868102597,1.0115831631668082,0.987974985036999,0.3333333333333333
CorrBias,OTBE,11,0.03186978903845585,1.0,0.7188507574477846,1.0,0.9807531731411703,0.0011078825030689818,0.24657138647496007,0.9999997193420527,1.269900007173419,0.5833333333333334
